start,end,today,deviceid,store_gps:Latitude,store_gps:Longitude,store_gps:Altitude,store_gps:Accuracy,Image,Shelter,Lighting,CCTV,Type,Capacity,meta:instanceID
Mon Oct 07 09:17:35 UTC 2019,Mon Oct 07 09:42:07 UTC 2019,Mon Oct 07 00:00:00 UTC 2019,8.63664E+14,52.62910097,-1.13800762,127,6.432,https://survodk3.appspot.com/view/binaryData?blobKey=lcfbikes%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2FLCFbikes%5B%40key%3Duuid%3A043a3d3e-ea32-4b87-ad6c-e28c902aec7f%5D%2FImage,Yes,Yes,Yes,U Stand,20,uuid:043a3d3e-ea32-4b87-ad6c-e28c902aec7f
Mon Oct 07 09:58:12 UTC 2019,Mon Oct 07 09:59:11 UTC 2019,Mon Oct 07 00:00:00 UTC 2019,8.63664E+14,52.62882121,-1.13959677,115,6.432,https://survodk3.appspot.com/view/binaryData?blobKey=lcfbikes%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2FLCFbikes%5B%40key%3Duuid%3A73b405d0-2777-403c-9e8e-4c6b3ce370ab%5D%2FImage,Yes,Yes,Yes,U Stand,14,uuid:73b405d0-2777-403c-9e8e-4c6b3ce370ab
Mon Oct 07 09:59:17 UTC 2019,Mon Oct 07 10:00:26 UTC 2019,Mon Oct 07 00:00:00 UTC 2019,8.63664E+14,52.62898247,-1.13948974,112,6.432,https://survodk3.appspot.com/view/binaryData?blobKey=lcfbikes%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2FLCFbikes%5B%40key%3Duuid%3A5ce0277c-a807-43ad-9926-85caf3094b7b%5D%2FImage,No,Yes,Yes,U Stand,16,uuid:5ce0277c-a807-43ad-9926-85caf3094b7b
Mon Oct 07 10:00:36 UTC 2019,Mon Oct 07 10:01:47 UTC 2019,Mon Oct 07 00:00:00 UTC 2019,8.63664E+14,52.6292151,-1.13970754,109,11.792,https://survodk3.appspot.com/view/binaryData?blobKey=lcfbikes%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2FLCFbikes%5B%40key%3Duuid%3A0764d258-4be6-4233-975d-bd0f0360e19d%5D%2FImage,No,Yes,Yes,U Stand,20,uuid:0764d258-4be6-4233-975d-bd0f0360e19d
Mon Oct 07 10:02:04 UTC 2019,Mon Oct 07 10:03:40 UTC 2019,Mon Oct 07 00:00:00 UTC 2019,8.63664E+14,52.62983324,-1.1392752,126,6.432,https://survodk3.appspot.com/view/binaryData?blobKey=lcfbikes%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2FLCFbikes%5B%40key%3Duuid%3A69616953-10cb-40a7-ae76-583076444664%5D%2FImage,No,Yes,No,U Stand,8,uuid:69616953-10cb-40a7-ae76-583076444664
Mon Oct 07 10:03:45 UTC 2019,Mon Oct 07 10:04:54 UTC 2019,Mon Oct 07 00:00:00 UTC 2019,8.63664E+14,52.62985815,-1.13887872,127,5.36,https://survodk3.appspot.com/view/binaryData?blobKey=lcfbikes%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2FLCFbikes%5B%40key%3Duuid%3A33dd63fa-7d98-464a-a43b-6e88db8ac1fc%5D%2FImage,Yes,Yes,No,U Stand,10,uuid:33dd63fa-7d98-464a-a43b-6e88db8ac1fc
Mon Oct 07 10:04:57 UTC 2019,Mon Oct 07 10:05:50 UTC 2019,Mon Oct 07 00:00:00 UTC 2019,8.63664E+14,52.62982115,-1.13851734,137,5.36,https://survodk3.appspot.com/view/binaryData?blobKey=lcfbikes%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2FLCFbikes%5B%40key%3Duuid%3A388a6750-89bd-4cdb-920e-6e5542e9c603%5D%2FImage,No,Yes,Yes,U Stand,6,uuid:388a6750-89bd-4cdb-920e-6e5542e9c603
Mon Oct 07 10:08:18 UTC 2019,Mon Oct 07 10:09:58 UTC 2019,Mon Oct 07 00:00:00 UTC 2019,8.63664E+14,52.63137294,-1.1391745,108,5.36,https://survodk3.appspot.com/view/binaryData?blobKey=lcfbikes%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2FLCFbikes%5B%40key%3Duuid%3Add630d17-1c69-4583-9dc3-4353aec138f9%5D%2FImage,No,Yes,No,U Stand,22,uuid:dd630d17-1c69-4583-9dc3-4353aec138f9
Mon Oct 07 10:11:58 UTC 2019,Mon Oct 07 10:12:47 UTC 2019,Mon Oct 07 00:00:00 UTC 2019,8.63664E+14,52.63046877,-1.13780754,130,5.36,https://survodk3.appspot.com/view/binaryData?blobKey=lcfbikes%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2FLCFbikes%5B%40key%3Duuid%3A0af6ca13-a12f-47a9-9cd2-6d8f336e37e7%5D%2FImage,Yes,Yes,Yes,U Stand,8,uuid:0af6ca13-a12f-47a9-9cd2-6d8f336e37e7
Mon Oct 07 10:13:10 UTC 2019,Mon Oct 07 10:14:17 UTC 2019,Mon Oct 07 00:00:00 UTC 2019,8.63664E+14,52.63017781,-1.1374939,113,5.36,https://survodk3.appspot.com/view/binaryData?blobKey=lcfbikes%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2FLCFbikes%5B%40key%3Duuid%3A830acee7-2d9f-4f27-9201-e0b3f4c5f6d4%5D%2FImage,No,Yes,No,U Stand,6,uuid:830acee7-2d9f-4f27-9201-e0b3f4c5f6d4
